return_type,msme_id,tax_period,filing_date,due_date,delay_days,total_sales_declared,tax_paid_cash,tax_paid_itc
GSTR-3B,MSME_10000,012026,2026-02-20,2026-02-20,0,1532967.51,32886.35,218080.38
GSTR-3B,MSME_10000,022026,2026-02-15,2026-03-20,0,1898365.03,55478.58,242902.19
GSTR-3B,MSME_10000,032026,2026-03-17,2026-04-20,0,1275934.7,32159.35,121365.78
GSTR-3B,MSME_10000,042026,2026-04-16,2026-05-20,0,1854235.47,30537.43,195856.23
GSTR-3B,MSME_10001,032026,2026-04-16,2026-04-20,0,707190.29,31257.99,70683.87
GSTR-3B,MSME_10001,042026,2026-04-22,2026-05-20,0,1254381.19,35415.37,166047.62
GSTR-3B,MSME_10002,122025,2026-01-16,2026-01-20,0,1466926.42,38294.02,119926.52
GSTR-3B,MSME_10002,012026,2026-01-17,2026-02-20,0,279850.13,8164.46,20423.66
GSTR-3B,MSME_10002,022026,2026-02-18,2026-03-20,0,1766537.22,76619.37,218334.6
GSTR-3B,MSME_10002,032026,2026-03-17,2026-04-20,0,443337.67,9488.84,53532.02
GSTR-3B,MSME_10002,042026,2026-04-20,2026-05-20,0,681332.49,33766.67,93661.4
GSTR-3B,MSME_10003,012026,2026-02-20,2026-02-20,0,748422.18,33020.9,46259.79
GSTR-3B,MSME_10003,022026,2026-02-18,2026-03-20,0,559196.13,22308.72,31441.73
GSTR-3B,MSME_10003,032026,2026-03-17,2026-04-20,0,215226.59,4221.86,14681.96
GSTR-3B,MSME_10003,042026,2026-04-16,2026-05-20,0,513450.04,21727.27,58887.28
GSTR-3B,MSME_10004,012026,2026-02-19,2026-02-20,0,1300785.63,38192.57,81477.9
GSTR-3B,MSME_10004,022026,2026-02-16,2026-03-20,0,306884.92,12768.85,20969.77
GSTR-3B,MSME_10004,032026,2026-03-17,2026-04-20,0,502909.1,24570.15,45402.24
GSTR-3B,MSME_10004,042026,2026-04-16,2026-05-20,0,1646871.21,70123.65,230689.61
GSTR-3B,MSME_10005,022026,2026-03-18,2026-03-20,0,386946.04,6892.51,26843.99
GSTR-3B,MSME_10005,032026,2026-03-18,2026-04-20,0,1647619.63,76277.2,244688.19
GSTR-3B,MSME_10005,042026,2026-04-20,2026-05-20,0,850687.78,36843.35,73548.43
GSTR-3B,MSME_10006,042026,2026-05-19,2026-05-20,0,1777037.19,75344.08,195843.34
GSTR-3B,MSME_10007,022026,2026-03-16,2026-03-20,0,598119.77,17818.94,44592.13
GSTR-3B,MSME_10007,032026,2026-03-19,2026-04-20,0,1482426.12,67630.17,80995.56
GSTR-3B,MSME_10007,042026,2026-04-17,2026-05-20,0,229753.4,8475.87,22383.38
GSTR-3B,MSME_10008,042026,2026-05-15,2026-05-20,0,151910.83,3827.88,8515.82
GSTR-3B,MSME_10009,032026,2026-04-15,2026-04-20,0,924403.23,13516.59,77448.25
GSTR-3B,MSME_10009,042026,2026-04-16,2026-05-20,0,409731.94,11728.58,34313.99
GSTR-3B,MSME_10010,042026,2026-05-20,2026-05-20,0,379465.2,9935.73,21953.57
GSTR-3B,MSME_10011,032026,2026-04-19,2026-04-20,0,1406150.49,50049.37,209213.16
GSTR-3B,MSME_10011,042026,2026-04-28,2026-05-20,0,829818.33,21346.13,107020.47
GSTR-3B,MSME_10012,022026,2026-03-16,2026-03-20,0,389672.12,17148.81,24139.77
GSTR-3B,MSME_10012,032026,2026-03-20,2026-04-20,0,667573.62,6734.1,66546.42
GSTR-3B,MSME_10012,042026,2026-04-16,2026-05-20,0,1856593.51,66720.0,106951.75
GSTR-3B,MSME_10013,042026,2026-05-15,2026-05-20,0,1432496.26,18359.65,167070.18
GSTR-3B,MSME_10014,032026,2026-04-19,2026-04-20,0,1951640.89,92818.16,145087.76
GSTR-3B,MSME_10014,042026,2026-04-17,2026-05-20,0,837581.13,34529.11,60894.92
GSTR-3B,MSME_10015,032026,2026-04-15,2026-04-20,0,853360.17,18573.34,108164.83
GSTR-3B,MSME_10015,042026,2026-04-18,2026-05-20,0,1615535.09,16478.59,109467.24
GSTR-3B,MSME_10016,032026,2026-04-15,2026-04-20,0,1358655.25,55873.35,157920.58
GSTR-3B,MSME_10016,042026,2026-04-20,2026-05-20,0,1192298.52,55429.36,96095.05
