entity_id,gst_ontime_rate,gst_avg_delay,sales_volume_avg,itc_utilisation_ratio,upi_inflow_avg,upi_outflow_avg,upi_net_flow_ratio,upi_velocity_30d,upi_counterparty_diversity,geo_diversity,repeated_counterparty_ratio,eway_volume_avg,eway_momentum,eway_anomaly_rate,vintage_months,age_penalty,industry_risk_factor,bureau_score_cibil,data_confidence
MSME_10000,1.0,0.0,1640375.6775,0.837439804256754,543742.4325,921142.0850000001,-0.6940779860876503,35,70,5,0.5178571428571429,10.5,-0.38461538461538464,0.0,8.0,0.44932896411722156,0.5,-1,medium
MSME_10001,1.0,0.0,980785.74,0.7802495246862402,488229.7975,864932.7349999999,-0.7715689198588906,39,65,5,0.43564356435643564,9.75,-0.375,0.0,41.0,0.016572675401761237,0.5,667,high
MSME_10002,1.0,0.0,927596.786,0.7525580190855391,767809.6575,623724.21,0.18765776920434218,31,63,5,0.5046728971962616,14.75,-0.525,0.0,57.0,0.003345965457471272,0.5,755,high
MSME_10003,1.0,0.0,509073.73500000004,0.6504884056732694,687318.6725,816407.22,-0.18781469595531758,37,69,5,0.5178571428571429,12.0,-0.5,0.0,22.0,0.11080315836233387,0.5,-1,high
MSME_10004,1.0,0.0,939362.715,0.7221352888813802,510699.2275,795916.35,-0.5584835596799488,44,76,5,0.5258620689655172,15.666666666666666,0.06666666666666667,0.0,46.0,0.010051835744633576,0.5,666,high
MSME_10005,1.0,0.0,961751.15,0.7419593777743739,588464.295,858500.3750000001,-0.4588826922795716,43,69,5,0.5045045045045045,13.0,-0.375,0.0,5.0,0.6065306597126334,0.5,-1,low
MSME_10006,1.0,0.0,1777037.19,0.7221697083146409,598202.5000000001,759765.9575,-0.27008154847229804,37,69,5,0.5045871559633027,12.5,-0.5714285714285714,0.0,1.0,0.9048374180359595,0.5,-1,low
MSME_10007,1.0,0.0,770099.7633333333,0.6117134612160885,753217.135,694724.2775000001,0.07765736436678372,46,70,5,0.5045871559633027,17.333333333333332,0.125,0.0,14.0,0.24659696394160643,0.5,726,high
MSME_10008,1.0,0.0,151910.83,0.6898920096891531,615269.8925,796355.1,-0.29431833039026856,35,64,5,0.5701754385964912,17.666666666666668,-0.027777777777777776,0.0,48.0,0.008229747049020023,0.5,-1,high
MSME_10009,1.0,0.0,667067.585,0.8157386523838382,470589.0074999999,985265.8275,-1.0,44,68,5,0.5357142857142857,9.25,-0.391304347826087,0.0,21.0,0.1224564282529819,0.5,691,high
MSME_10010,1.0,0.0,379465.2,0.6884306021141888,620804.3175,740705.3675000002,-0.19313823473851752,29,66,5,0.5046728971962616,11.25,-0.4482758620689655,0.0,14.0,0.24659696394160643,0.5,765,high
MSME_10011,1.0,0.0,1117984.41,0.8158149259835039,721966.0999999999,849614.985,-0.17680731131281668,37,72,5,0.5423728813559322,18.333333333333332,-0.25,0.0,6.0,0.5488116360940264,0.5,-1,medium
MSME_10012,1.0,0.0,971279.75,0.685669432351452,560507.6275,707217.22,-0.26174414994914597,34,61,5,0.48514851485148514,15.0,0.75,0.0,59.0,0.0027394448187683684,0.5,-1,high
MSME_10013,1.0,0.0,1432496.26,0.9009886920567204,624798.7925,898666.56,-0.4383295403055698,35,78,5,0.5819672131147541,11.25,-0.59375,0.0,1.0,0.9048374180359595,0.5,-1,low
MSME_10014,1.0,0.0,1394611.01,0.6179543122362692,565432.8524999998,918913.3175,-0.6251502073802836,35,70,5,0.5663716814159292,15.0,0.375,0.0,9.0,0.4065696597405991,0.5,-1,medium
MSME_10015,1.0,0.0,1234447.6300000001,0.8612815611593928,617021.915,696146.5850000001,-0.12823640145747503,32,64,5,0.47572815533980584,13.25,-0.3939393939393939,0.0,52.0,0.0055165644207607716,0.5,751,high
MSME_10016,1.0,0.0,1275476.885,0.6953267936123876,644757.155,829117.335,-0.2859373929708464,41,65,5,0.5135135135135135,17.0,-0.15789473684210525,0.0,45.0,0.011108996538242306,0.5,-1,high
MSME_10017,1.0,0.0,937432.25,0.7657093213913504,676586.7925,891456.0025000001,-0.3175781915666054,35,73,5,0.5391304347826087,12.5,-0.3333333333333333,0.0,2.0,0.8187307530779818,0.5,-1,low
MSME_10018,1.0,0.0,1283140.702,0.7720817819209763,616411.0175,708891.3724999999,-0.1500303407539272,37,69,5,0.5137614678899083,17.0,0.09375,0.0,59.0,0.0027394448187683684,0.5,-1,high
MSME_10019,1.0,0.0,1417595.35,0.7238520531051891,545050.39,804488.9425,-0.47599003185742145,30,69,5,0.5277777777777778,13.666666666666666,-0.21875,0.0,33.0,0.036883167401239994,0.5,799,high
MSME_10020,1.0,0.0,1106003.79,0.6959458748644234,654677.4075,773569.7000000001,-0.18160439193099864,49,68,5,0.5132743362831859,12.5,-0.3333333333333333,0.0,52.0,0.0055165644207607716,0.5,-1,high
MSME_10021,1.0,0.0,1024489.23,0.793530799098655,565634.6950000001,776748.3150000001,-0.3732331518313246,38,65,5,0.5535714285714286,11.0,-0.5333333333333333,0.0,55.0,0.004086771438464067,0.5,-1,high
MSME_10022,1.0,0.0,568812.64,0.6871379149995406,514674.465,770782.6100000001,-0.4976119128039509,30,60,5,0.5196078431372549,13.666666666666666,-0.03571428571428571,0.0,10.0,0.36787944117144233,0.5,-1,medium
MSME_10023,1.0,0.0,1075132.78,0.6800355509703822,581790.99,793569.6525,-0.3640115885947288,32,63,5,0.5272727272727272,11.5,-0.2962962962962963,0.0,9.0,0.4065696597405991,0.5,-1,medium
MSME_10024,1.0,0.0,976136.62,0.8006565348784658,728877.7366666667,1194527.6866666668,-0.6388587915025767,40,72,5,0.5344827586206896,10.25,-0.48148148148148145,0.0,39.0,0.02024191144580438,0.5,596,high
MSME_10025,1.0,0.0,1050864.4766666666,0.8262961944023767,692313.855,857073.3325,-0.23798379349204277,40,71,5,0.5,16.666666666666668,-0.18421052631578946,0.0,34.0,0.033373269960326066,0.5,600,high
MSME_10026,1.0,0.0,660201.63,0.7298876519880234,597479.2749999999,801718.905,-0.34183550550770175,42,72,5,0.46296296296296297,12.25,-0.5151515151515151,0.0,44.0,0.012277339903068436,0.5,597,high
MSME_10027,1.0,0.0,1472447.94,0.7622162542733664,627138.72,618435.9149999999,0.013877001566734791,24,68,5,0.46153846153846156,13.25,-0.4857142857142857,0.0,39.0,0.02024191144580438,0.5,793,high
MSME_10028,1.0,0.0,462298.475,0.7321789523349448,593817.2400000001,855542.18,-0.44074998563531076,41,69,5,0.5,14.666666666666666,-0.125,0.0,59.0,0.0027394448187683684,0.5,749,high
MSME_10029,1.0,0.0,1037144.86,0.8143262246601067,692358.5300000001,783511.83,-0.13165620996971006,41,76,5,0.5630252100840336,13.25,-0.4857142857142857,0.0,35.0,0.0301973834223185,0.5,595,high
MSME_10030,1.0,0.0,974134.142,0.7387782948324505,493416.1625,1014489.0975,-1.0,36,70,5,0.5272727272727272,10.666666666666666,-0.35714285714285715,0.0,15.0,0.22313016014842982,0.5,-1,high
