msme_id,state,industry_sector,vintage_years,loan_product,sanctioned_amount_inr,outstanding_principal_inr,monthly_upi_volume_inr,avg_gst_delay_days,legacy_cibil_score,ai_blended_score,risk_band,days_past_due_dpd,accommodation_fraud_flag
MSME_10000,Maharashtra,Manufacturing,7.3,Supply Chain Finance,2600000,2062720.85,3800000,0,763,798,Low Risk,0,False
MSME_10001,Tamil Nadu,Manufacturing,21.3,Overdraft,6600000,4030898.67,2300000,0,767,816,Low Risk,0,False
MSME_10002,Karnataka,Retail/FMCG,10.7,Overdraft,6700000,4853658.59,4600000,0,766,816,Low Risk,0,False
MSME_10003,Tamil Nadu,IT/Services,15.9,Working Capital Demand Loan,8100000,5121370.54,2300000,0,822,848,Low Risk,0,False
MSME_10004,Maharashtra,Manufacturing,15.5,Term Loan,4400000,1552765.42,1100000,0,697,438,Critical Risk,90,True
MSME_10005,Delhi,IT/Services,13.5,Overdraft,7800000,7234923.51,1200000,0,756,756,Low Risk,0,False
MSME_10006,Gujarat,Retail/FMCG,24.0,Working Capital Demand Loan,8800000,4664559.25,3100000,0,784,784,Low Risk,30,False
MSME_10007,Karnataka,Retail/FMCG,20.0,Overdraft,1700000,302449.45,3800000,0,799,799,Low Risk,30,False
MSME_10008,Karnataka,Logistics,8.9,Term Loan,2500000,926813.41,700000,0,709,709,Medium Risk,0,False
MSME_10009,Tamil Nadu,Retail/FMCG,3.7,Working Capital Demand Loan,9700000,4271503.65,2700000,0,681,731,Medium Risk,0,False
MSME_10010,Maharashtra,Logistics,18.8,Overdraft,3900000,3225996.97,200000,5,713,685,Medium Risk,0,False
MSME_10011,Gujarat,Logistics,19.2,Supply Chain Finance,2700000,1361598.95,3200000,0,749,749,Medium Risk,30,False
MSME_10012,Tamil Nadu,Agriculture Tech,20.8,Overdraft,1000000,781443.6,3900000,0,736,736,Medium Risk,90,False
MSME_10013,Gujarat,Agriculture Tech,1.8,Working Capital Demand Loan,9100000,4289168.93,3400000,0,581,581,High Risk,30,False
MSME_10014,Delhi,Retail/FMCG,16.2,Term Loan,1600000,1303506.55,3600000,0,760,804,Low Risk,0,False
MSME_10015,Tamil Nadu,IT/Services,15.0,Term Loan,3200000,1471198.11,2300000,15,771,757,Low Risk,0,False
MSME_10016,Gujarat,IT/Services,13.9,Term Loan,2200000,816691.31,3800000,0,684,712,Medium Risk,0,False
MSME_10017,Maharashtra,IT/Services,4.5,Working Capital Demand Loan,8300000,838808.08,1800000,0,793,793,Low Risk,0,False
MSME_10018,Karnataka,IT/Services,10.5,Overdraft,4500000,3219576.67,2700000,0,750,800,Low Risk,0,False
MSME_10019,Delhi,Retail/FMCG,22.7,Term Loan,2300000,1179019.94,2900000,5,793,806,Low Risk,0,False
MSME_10020,Karnataka,Retail/FMCG,10.5,Working Capital Demand Loan,6200000,4130292.09,600000,5,717,337,Critical Risk,90,True
MSME_10021,Maharashtra,Manufacturing,15.7,Term Loan,7700000,1502616.07,3500000,0,779,817,Low Risk,0,False
MSME_10022,Delhi,Agriculture Tech,2.0,Overdraft,8200000,5720810.93,1800000,0,679,679,Medium Risk,0,False
MSME_10023,Gujarat,Agriculture Tech,2.1,Working Capital Demand Loan,7500000,6058001.42,1000000,15,581,561,High Risk,0,False
MSME_10024,Tamil Nadu,Manufacturing,1.9,Overdraft,2000000,1774902.16,3100000,0,633,633,High Risk,90,False
MSME_10025,Gujarat,Retail/FMCG,19.4,Term Loan,8100000,2701400.13,4200000,0,758,782,Low Risk,0,False
MSME_10026,Tamil Nadu,Logistics,1.6,Supply Chain Finance,4200000,459939.59,2900000,0,661,661,Medium Risk,60,False
MSME_10027,Tamil Nadu,Manufacturing,23.0,Overdraft,2200000,1990801.18,4900000,0,798,843,Low Risk,0,False
MSME_10028,Delhi,Agriculture Tech,19.0,Term Loan,8500000,6388002.57,4000000,0,731,760,Low Risk,0,False
MSME_10029,Delhi,Manufacturing,6.9,Supply Chain Finance,2800000,2388209.77,3200000,0,706,742,Medium Risk,0,False
MSME_10030,Maharashtra,IT/Services,6.2,Overdraft,4000000,3467771.82,100000,15,721,708,Medium Risk,30,False
MSME_10031,Gujarat,Agriculture Tech,22.7,Supply Chain Finance,5100000,2650479.3,4800000,15,749,767,Low Risk,0,False
MSME_10032,Gujarat,Agriculture Tech,2.5,Overdraft,8000000,4719094.97,2100000,0,640,640,High Risk,30,False
MSME_10033,Karnataka,Manufacturing,4.2,Term Loan,7000000,5093677.08,1000000,0,788,788,Low Risk,0,False
MSME_10034,Karnataka,Manufacturing,21.0,Overdraft,3200000,1249975.45,2200000,0,787,787,Low Risk,60,False
MSME_10035,Delhi,Retail/FMCG,7.4,Term Loan,7800000,7386645.99,600000,30,552,531,Critical Risk,60,False
MSME_10036,Karnataka,IT/Services,20.4,Working Capital Demand Loan,6900000,1137398.98,2600000,0,703,743,Medium Risk,0,False
MSME_10037,Gujarat,Agriculture Tech,19.1,Working Capital Demand Loan,8500000,1336792.47,3900000,15,686,670,Medium Risk,30,False
MSME_10038,Karnataka,Agriculture Tech,11.2,Supply Chain Finance,6400000,811839.03,2500000,0,714,749,Medium Risk,0,False
MSME_10039,Karnataka,IT/Services,4.6,Supply Chain Finance,7100000,6484600.66,4300000,0,703,735,Medium Risk,0,False
MSME_10040,Delhi,Retail/FMCG,4.2,Overdraft,9900000,1337819.09,1200000,0,793,793,Low Risk,0,False
MSME_10041,Tamil Nadu,IT/Services,12.6,Overdraft,3100000,650985.26,4700000,15,720,714,Medium Risk,0,False
MSME_10042,Tamil Nadu,Logistics,3.1,Working Capital Demand Loan,8000000,5057855.07,1500000,0,734,734,Medium Risk,0,False
MSME_10043,Delhi,Manufacturing,9.7,Overdraft,1000000,172180.24,1900000,0,730,730,Medium Risk,0,False
MSME_10044,Karnataka,Manufacturing,24.0,Term Loan,4200000,587918.85,2600000,0,806,835,Low Risk,0,False
MSME_10045,Gujarat,Logistics,17.0,Supply Chain Finance,7300000,4086509.75,2000000,0,735,735,Medium Risk,0,False
MSME_10046,Maharashtra,Retail/FMCG,23.0,Working Capital Demand Loan,4800000,1902706.92,1500000,15,720,707,Medium Risk,0,False
MSME_10047,Gujarat,Retail/FMCG,18.1,Overdraft,5900000,3406882.45,5000000,0,844,875,Low Risk,0,False
MSME_10048,Delhi,Agriculture Tech,20.3,Working Capital Demand Loan,6200000,5065908.68,1200000,0,709,709,Medium Risk,0,False
MSME_10049,Karnataka,Agriculture Tech,1.5,Term Loan,8600000,5554352.08,1000000,0,654,654,Medium Risk,30,False
MSME_10050,Gujarat,Agriculture Tech,16.7,Term Loan,900000,392908.49,100000,15,714,687,Medium Risk,0,False
MSME_10051,Tamil Nadu,Retail/FMCG,19.2,Working Capital Demand Loan,4200000,1864738.72,4200000,0,744,770,Low Risk,0,False
MSME_10052,Karnataka,Retail/FMCG,19.6,Term Loan,2000000,1292725.5,1700000,0,703,703,Medium Risk,0,False
MSME_10053,Delhi,Logistics,19.4,Term Loan,600000,410787.15,1700000,0,748,748,Medium Risk,0,False
MSME_10054,Gujarat,Logistics,24.8,Overdraft,4200000,3007516.93,2400000,0,809,809,Low Risk,30,False
MSME_10055,Gujarat,Logistics,14.2,Working Capital Demand Loan,6600000,4837050.41,200000,0,685,685,Medium Risk,0,False
