entity_id,name,gstin,industry_code,vintage_months,bureau_score_cibil,credit_limit_requested
MSME_10000,Om Industries,35IPABW5427I8ZY,NIC_4100,8,-1,2825293
MSME_10001,Skyline Foods,10CHWLZ7741W2ZD,NIC_5229,41,667,2945029
MSME_10002,Rapid Traders,31XTTPA6520F7ZC,NIC_1702,57,755,1062456
MSME_10003,Prime Enterprises,15VAQTB9549C7ZW,NIC_2220,22,-1,239212
MSME_10004,Sai Traders,15TVGTZ7955R7ZH,NIC_1079,46,666,827062
MSME_10005,Global Retail,29SGXBG7904M2ZG,NIC_1311,5,-1,1066770
MSME_10006,Green Packaging,21WTISV0173H3Z9,NIC_4690,1,-1,2394926
MSME_10007,Shree Foods,17OOWHP4206O1Z4,NIC_1079,14,726,2869267
MSME_10008,Green Packaging,17RNTTY5316L4ZH,NIC_1079,48,-1,1687771
MSME_10009,Skyline Logistics,15OGCCP3461X6ZZ,NIC_4690,21,691,1044261
MSME_10010,Shree Textiles,30YPKCF0630Y1ZX,NIC_1702,14,765,1243722
MSME_10011,Prime Enterprises,16BMIMX6885X3ZR,NIC_4690,6,-1,2345531
MSME_10012,Rapid Logistics,16XHZQV9355B3ZU,NIC_4100,59,-1,1482248
MSME_10013,Rapid Textiles,36ZGOYC8448Y4Z6,NIC_4690,1,-1,2404777
MSME_10014,Green Logistics,23PLXOF0688I5ZL,NIC_2220,9,-1,1327835
MSME_10015,Skyline Logistics,23PZYRK5584N5ZA,NIC_1311,52,751,1078998
MSME_10016,Urban Enterprises,23FYCVK8487F4Z3,NIC_2220,45,-1,2289320
MSME_10017,Om Textiles,28VUEMF9338W7ZX,NIC_4100,2,-1,2493105
MSME_10018,Rapid Enterprises,10ZDDZC4474X5ZC,NIC_5229,59,-1,2038109
MSME_10019,Global Foods,29HKZQG9412S5ZJ,NIC_2220,33,799,579076
MSME_10020,Rapid Enterprises,32VXTOK4687B4Z6,NIC_4100,52,-1,1507168
MSME_10021,Om Retail,13WGDGV2132O5Z7,NIC_4711,55,-1,2013158
MSME_10022,Urban Traders,17CHUWL7607U3ZT,NIC_4711,10,-1,1986666
MSME_10023,Skyline Foods,16XCXJU2109Q1ZW,NIC_2220,9,-1,1734170
MSME_10024,Om Textiles,34KOGXI5491E1ZY,NIC_2220,39,596,967572
MSME_10025,Lakshmi Traders,25TKDJQ3157C3ZR,NIC_4100,34,600,2797294
